教羅	注音二式	注音	CJK	造字區
a0	a9		仔啊
tsiam	jiam		瀸譫櫼
tsiam2	jiam2		枕柟颭
tsiam3	jiam3		占佔僣譖
tsiam5	jiam5		潛潜燖
tsiam7	jiam7		漸暫賺	
tsian	jian		鱣鸇
tsian2	jian2		剪棧戩翦踐錢餞蟫謭鬋譾
tsian3	jian3		洊牮荐湔箭賤戰餞薦濺顫
tsian5	jian5		前媊湔錢
tsian7	jian7		賤踐餞濺鏇	
tsiang	jiang		鱆
tsiang2	jiang2		仉長掌槳獎蔣賬
tsiang3	jiang3		將嶂幛障賬瘴醬
tsiang7	jiang7		負襁	
tsiann	jiann		正赤腈精
tsiann2	jiann2		淡啙飷整	
tsiann3	jiann3		正
tsiann5	jiann5		成情誠
tsiann7	jiann7		正淨
tsiap	jiap		汁浹眨啑捷接椄睫襵	
tsiap8	jiap8		十倢婕崨捷睫截
tsiat	jiat		櫛癤
tsiat8	jiat8		婕捷睫蜇截箑誱蠽	
tsiau	jiau		鐎鷦
tsiau2	jiau2		爪姊姐沼屌鳥剿屪
tsiau3	jiau3		炤詔照僬曌醮釂
tsiau5	jiau5		顦劁齊憔撨樵瞧礁褿譙醮鐎鷦	
tsiau7	jiau7		噍醮
tsiauh	jiauh		哳寂	
tsiauh8	jiauh8		哳嚼
tsih	jih		折接摺漬癤	
tsih8	jih8		舌折	
tsik	jiek		嘖墌幘摭銍稷膣質踖踧磧積膱燭簀
tsik8	jiek8		柞疾寂嫉賊蒺藉鯽籍鰂鱡	
tsim	jim		鱵
tsim2	jim2		抌枕栠嬸	
tsim3	jim3		枕浸寖	
tsim5	jim5		涔尋覃撏燖蟳
tsin	jin		臻
tsin2	jin2		黰
tsin3	jin3		振晉症証進搢賑震縉證
tsin5	jin5		秦尋澠螓繩	
tsin7	jin7		尽真盡儘濜燼藎贐
tsing	jing		摐禎箏箐精蒸蜻增徵憎撞衝諍踪橧
tsing2	jing2		井妌阱指掌煄腫種整踵
tsing3	jing3		正政症眾幀証種諍薦證	
tsing5	jing5		成松前歬從情晴曾氰暒榕層嶒甑懲	
tsing7	jing7		贈蹭
tsinn	jinn		爭毡掙揁晶棦湔搢踭摏精氈鬊攕櫼	
tsinn2	jinn2		井尐少戔呰茈啙紫駬鴿邇	
tsinn3	jinn3		炙爭搢煎僣箭糋諍	
tsinn5	jinn5		前揁晴諓錢檐簷	
tsinn7	jinn7		舐靜嚌
tsio	jior		招昭椒蕉
tsio2	jior2		少走
tsio3	jior3		焟照醮
tsio7	jior7		噍
tsioh	jiorh		炙斫借畟砳斮焟跖墌績襀蹠	
tsioh8	jiorh8		石就
tsiok	jiook		瘃禚踧燭爵臅繳蠋蹴嚼躅屬爝鐲皭
tsiong	jiong		憃樁樟漿璋螽螿蟑鍾蹖蹤鐘
tsiong2	jiong2		仉尰掌腫種槳獎蔣踵
tsiong3	jiong3		中偅將眾嶂幛種障瘴瞕縱醬	
tsiong5	jiong5		从爿從
tsiong7	jiong7		匠狀從
tsionn	jioonn		章漳獐樟漿螿鱆
tsionn2	jioonn2		掌槳獎蔣
tsionn3	jioonn3		障醬
tsionn5	jioonn5		裳螿
tsionn7	jioonn7		上養癢
tsip	jip		咠唼執接緝縶蟄蹴	
tsip8	jip8		咠寂集輯籍
tsit	jit		銍瘠質積織職鯽櫍隲鶺鑕
tsit8	jit8		一疾這植殖嫉禃蜀蒺
tsiu	jiu		蝤賙盩鵃譸
tsiu2	jiu2		守帚酒箒
tsiu3	jiu3		呪咒祝蛀詋詶僽噣
tsiu5	jiu5		揪蝤
tsiu7	jiu7		就僦鷲
tsiuh	jiuh		啁寂喌
tsiuh8	jiuh8		浞啁啾
tsiunn	jiunn		章漳獐樟漿蟑
tsiunn2	jiunn2		掌槳漿獎蔣
tsiunn3	jiunn3		障醬
tsiunn5	jiunn5		裳
tsiunn7	jiunn7		上養癢
tsng	tzng		庄妝莊粧裝賍塼磚贓	
tsng2	tzng2		拃指
tsng3	tzng3		自從葬銌躦鑽
tsng5	tzng5		全從旋嘗	
tsng7	tzng7		全但吮狀從旋漩噀藏饌臟	
tso	tzor		嘈慒遭噪糟蹧
tso2	tzor2		屮左早佐皁皂笊蚤棗澡繰藻
tso3	tzor3		佐作灶奏座做皺竈
tso5	tzor5		皁皂曹矬嘈慒漕槽瘥艚螬鹺	
tso7	tzor7		住坐皁皂昨座做造嘈漕	
tsoh	tzorh		作
tsoh8	tzorh8		昨射踖擲
tsok	tzook		作笮
tsok8	tzook8		怍昨柞胙族酢嗾嘖醋濁擢濯鏃鷟	
tsom	tzoom		箴簪
tsom2	tzoom2		怎
tsom3	tzoom3		僭譖
tsong	tzong		稯綜臧賘樁艐踪騌縱蹖蹤鬃騣鬷鯼
tsong2	tzong2		奘悰傯摠綜蓯總	
tsong3	tzong3		壯倊眾葬粽綜糉鬷髒	
tsong5	tzong5		彸洋崇傱綜藏蹤	
tsong7	tzong7		狀奘祟撞藏臟
tsoo	tzoo		騶
tsoo2	tzoo2		走咀沮阻俎殂祖組詛鉏瞅齟
tsoo3	tzoo3		左咀阼奏胙祚做揍湊皺蔟輳簇驟	
tsoo5	tzoo5		咀齟
tsoo7	tzoo7		助胙祚驟
tsop	tzoop		噆
tsop8	tzoop8		噆
tsu	tzu		猪痘粢菑菹蛛誅貲資雎緇銖齊諸豬
tsu2	tzu2		翥褚麈齟
tsu3	tzu3		澍駐積骴鑄
tsu5	tzu5		鶿蠩
tsu7	tzu7		字肉自住柱冣牸埾眥眦袓漬聚駐	
tsua	tzua		抓撮遭撾髽
tsua2	tzua2		帋姐紙
tsua3	tzua3		漈
tsua5	tzua5		淘蛇誰
tsua7	tzua7		帀行迣逝詛畷誓踐遭
tsuah	tzuah		泏諸	
tsuah8	tzuah8		差斜齟蠽	
tsuai	tzuai		
tsuai7	tzuai7		跩檌	
tsuainn7	tzuainn7		
tsuan	tzuan		耑專塼蓴磚顓鐫鱄鑴鑽	
tsuan2	tzuan2		剪翦篹賺轉纂囀爨
tsuan3	tzuan3		篡攢攥鑽
tsuan5	tzuan5		全佺泉牷荃儹攢	
tsuan7	tzuan7		栓僎撰轉譔鏇饌
tsuang	tzuang		裝
tsuang3	tzuang3		壯
tsuann	tzuann		煎
tsuann2	tzuann2		怎笊琖盞
tsuann3	tzuann3		炸煎諍讚饡
tsuann5	tzuann5		泉涎殘
tsuann7	tzuann7		賤濺
tsuat	tzuat		拙泏茁剟梲畷窡撮輟繓
tsuat8	tzuat8		絕	
tsue	tzue		劑
tsue2	tzue2		最
tsue3	tzue3		怎做晬最畷綴嘬蕝蕞餟贅
tsue5	tzue5		朘脧摧漼齊璀蕤
tsue7	tzue7		多罪辠睡際儕繓穧	
tsueh	tzueh		拭節癤
tsueh8	tzueh8		啐絕截	
tsuh	tzuh		沮泏注茁剚捽滋漬	
tsuh8	tzuh8		突
tsui	tzui		隹珠追堆椎脽萑催觜榛槯錐鎚騅鵻	
tsui2	tzui2		水沝捶最嘴	
tsui3	tzui3		最醉噿檇
tsui5	tzui5		摧劑	
tsui7	tzui7		崒悴脺萃瘁罪誰膵蕞顇
tsuinn	tzuinn		磚	
tsuinn2	tzuinn2		怎指
tsuinn3	tzuinn3		鑽
tsuinn5	tzuinn5		全
tsuinn7	tzuinn7		旋
tsun	tzun		屯肫窀惇尊噂墫澊諄樽遵罇蹲鐏鱒	
tsun2	tzun2		准隼準噂撙鱒	
tsun3	tzun3		餕戰濬駿鐫顫
tsun5	tzun5		存前拵唇脣船逡稕僎蟬	
tsun7	tzun7		拵挋洊捘陣旋銌鏇鱒	
tsut	tzut		卒茁倅窋啐悴捽淬猝雋誶	
tsut8	tzut8		朮卒沭秫崒捽椊誶黢	
tu	du		姝邾株堆推猪蛛誅跦嘟豬櫫	
tu2	du2		抵拄柢柱堵詆貯跓適
tu3	du3		亍住拄注柱著滯駐
tu5	du5		苧除鉏裯廚鋤篨儲櫥躇躕
tu7	du7		筋著詆嘟漬箸櫡
tua	dua		拖
tua2	dua2		何	
tua3	dua3		住帶逗滯遰蹛
tua5	dua5		拖沱淘
tua7	dua7		大舵馱導
tuah	duah		掇
tuah8	duah8		奪
tuan	duan		耑偳專端	
tuan2	duan2		垛短斷
tuan3	duan3		斷
tuan5	duan5		團慱摶	
tuan7	duan7		段傳椴篆緞鍛斷籪
tuann	duann		蛋單端癉簞
tuann2	duann2		叕
tuann3	duann3		旦妲
tuann5	duann5		團彈壇檀
tuann7	duann7		段惰彈憚撣誕	
tuat	duat		叕剟啜惙掇涰敪逫綴裰輟醊錣餟	
tuat8	duat8		奪
tue2	due2		底貯	
tue3	due3		帶從逫逮對綴隶
tue5	due5		兌隤蹄頹題魋穨
tue7	due7		地兌苧第遞
tueh8	dueh8		迭窄
tuh	duh		厾咄拄盹啄捽椊椓篤
tuh8	duh8		咄突訥揬摘擇築	
tui	dui		追堆敦
tui2	dui2		
tui3	dui3		隊碓對憝
tui5	dui5		捶椎搥	
tui7	dui7		兌倕隊膇墜墮墯憝縋錞隧懟譈	
tuinn2	duinn2		返斷轉
tuinn3	duinn3		頓燙	
tuinn5	duinn5		段填斷
tuinn7	duinn7		斷	
tun	dun		輴礅蹲鶉鐓
tun2	dun2		囤盹盾楯腯礅躉	
tun3	dun3		吨扽杶腯頓噸	
tun5	dun5		屯囤芚唇脣豘豚鈍飩漘魨臀
tun7	dun7		屯忳沌炖泵鈍飩腯遁遯燉	
tut	dut		咄柮腯飿	
tut8	dut8		凸朮咄突秫揬湥腯	
u	u		痀眗訏淤菸嗚瘀摴窩樗踞
u2	u2		与予宇羽雨禹喣寓傴楀鄔與噢癒齬
u3	u3		塢搵煦瘀嫗熓燠
u5	u5		揄渝畬隃榆逾與餘輿歟藇旟譽鱮
u7	u7		有芋雩預與澦禦豫蕷譽
ua	ua		呱哇娃挖洼洿窊喎媧椏蛙漥潌窪蝸
ua2	ua2		瓦倚掗搲
ua3	ua3		化瓦按發溛	
ua5	ua5		何
ua7	ua7		瓦何画若畫話
uah	uah		頞
uah8	uah8		活
uai	uai		歪冤喎竵	
uai2	uai2		歪踒	
uai3	uai3		
uai7	uai7		孬畫
uainn	uainn		歪閂冤挨椏轟彎灣
uainn2	uainn2		踒踠	
uainn7	uainn7		孬椏
uainnh	uainnh		輵	
uainnh8	uainnh8		轟	
uak	uak		
uak8	uak8		
uan	uan		宛冤剜眢菀蜿豌鴛鵷彎灣
uan2	uan2		琬皖腕菀碗綰遠豌澣
uan3	uan3		宛怨苑
uan5	uan5		萑園圓楥楦猿獂頑圜篔轅還彎灣
uan7	uan7		玩宦爰浣院媛援瑗遠緩
uang	uang		嚾
uann	uann		安垵鞍頞
uann2	uann2		埦腕碗
uann3	uann3		垵晏案
uann5	uann5		呱鼾	
uann7	uann7		旱換
uat	uat		曰穵軋挖捾嗢斡噦	
uat8	uat8		曰戉悅越粵鉞說閱樾
ue	ue		碨錒鍋鍡鑽
ue2	ue2		挖唩捰喂搲矮毆踒踠
ue3	ue3		挩掗劌噦濊薈薉穢翽饖
ue5	ue5		禾回為唯鞋
ue7	ue7		外画能畫會話劃衛繪讆躗	
ueh	ueh		穵挖掗喂
ueh8	ueh8		戹唷狹窄腋隘劃	
uh	uh		噎	
uh8	uh8		
ui	ui		衣委威揻逶痿葳窩磑踒醫
ui2	ui2		蒍禕緯諉趡鮪薳蘤韙韡
ui3	ui3		位畏尉喂飫對慰蔚餵
ui5	ui5		褘遺濰闈
ui7	ui7		位為胃渭猬畫彙磑蝟衛諉謂魏繪
uih	uih		穵挖
uih8	uih8		劃
uinn	uinn		掩	
uinn2	uinn2		抁阮	
uinn3	uinn3		向
uinn5	uinn5		黃
uinn7	uinn7		暈
un	un		恩殷塭溫氳熅瘟縕蝹轀馧鰮	
un2	un2		允尹吮狁苑蚓晚溳隕殞賱檃隱穩癮	
un3	un3		塭慍搵溫熅縕醞韞蘊
un5	un5		澐緩輪鋆縜
un7	un7		因惲鄆暈運熅緷隱韵韻
ut	ut		
ut8	ut8		聿嗢燏遹鷸	
